_id,body_area_id,chief_complaint_id,is_male,is_female,is_common
1,1,,1,1,
2,1,,1,1,
3,1,,1,1,
4,1,,1,1,
5,1,,1,1,
6,1,,1,1,
7,1,,1,1,
8,1,,1,1,
9,1,,1,1,
10,1,,1,1,
11,1,,1,1,
12,1,,1,1,
13,1,,1,1,
14,1,,1,1,
15,1,,1,1,
16,1,,1,1,
17,1,,1,1,
18,1,,1,1,
19,1,,1,1,
20,1,,1,1,
21,1,,1,1,
22,1,,1,1,
23,1,,1,1,
24,1,,1,1,
25,1,,1,1,
26,1,,1,1,
27,1,,1,1,
28,1,,1,1,
29,1,,1,1,
30,1,,1,1,
31,1,,1,1,
32,1,,1,1,
33,2,,1,1,
34,2,,1,1,
35,2,,1,1,
36,2,,1,1,
37,2,,1,1,
38,2,,1,1,
39,2,,1,1,
40,2,,1,1,
41,2,,1,1,
42,2,,1,1,
43,2,,1,1,
44,2,,1,1,
45,5,,1,1,
46,5,,1,1,
47,5,,1,1,
48,5,,1,1,
49,5,,1,1,
50,5,,1,1,
51,5,,1,1,
52,5,,1,1,
53,7,,1,1,
54,7,,1,1,
55,7,,1,1,
56,7,,1,1,
57,7,,1,1,
58,7,,1,1,
59,7,,1,1,
60,7,,1,1,
61,7,,1,1,
62,7,,1,1,
63,7,,1,1,
64,7,,1,1,
65,7,,1,1,
66,7,,1,1,
67,7,,1,1,
68,8,,1,1,
69,8,,1,1,
70,8,,1,1,
71,8,,1,1,
72,8,,1,1,
73,8,,1,1,
74,8,,1,1,
75,8,,1,1,
76,9,,1,1,
77,9,,1,1,
78,9,,1,1,
79,9,,1,1,
80,9,,1,1,
81,9,,1,1,
82,9,,1,1,
83,9,,1,1,
84,9,,1,1,
85,10,,1,1,
86,10,,1,1,
87,10,,1,1,
88,10,,1,1,
89,10,,1,1,
90,10,,1,1,
91,10,,1,1,
92,11,,1,1,
93,11,,1,1,
94,11,,1,1,
95,11,,1,1,
96,11,,1,1,
97,11,,1,1,
98,11,,1,1,
99,11,,1,1,
100,11,,1,1,
101,11,,1,1,
102,11,,1,1,
103,11,,1,1,
104,11,,1,1,
105,11,,1,1,
106,12,,1,1,
107,12,,1,1,
108,12,,1,1,
109,12,,1,1,
110,12,,1,1,
111,12,,1,1,
112,12,,1,1,
113,12,,1,1,
114,12,,1,1,
115,12,,1,1,
116,13,,1,1,
117,13,,1,1,
118,13,,1,1,
119,13,,1,1,
120,13,,1,1,
121,13,,1,1,
122,13,,1,1,
123,13,,1,1,
124,13,,1,1,
125,13,,1,1,
126,13,,1,1,
127,13,,1,1,
128,14,,1,1,
129,14,,1,1,
130,14,,1,1,
131,14,,1,1,
132,14,,1,1,
133,14,,1,1,
134,14,,1,1,
135,14,,1,1,
136,14,,1,1,
137,14,,1,1,
138,14,,1,1,
139,14,,1,1,
140,14,,1,1,
141,14,,1,1,
142,14,,1,1,
143,14,,1,1,
144,14,,1,1,
145,14,,1,1,
146,14,,1,1,
147,14,,1,1,
148,14,,1,1,
149,14,,1,1,
150,14,,1,1,
151,15,,1,1,
152,16,,1,1,
153,16,,1,1,
154,16,,1,1,
155,16,,1,1,
156,16,,1,1,
157,16,,1,1,
158,16,,1,1,
159,16,,1,1,
160,16,,1,1,
161,16,,1,1,
162,16,,1,1,
163,16,,1,1,
164,16,,1,1,
165,16,,1,1,
166,17,,1,1,
167,17,,1,1,
168,17,,1,1,
169,17,,1,1,
170,17,,1,1,
171,17,,1,1,
172,17,,1,1,
173,17,,1,1,
174,17,,1,1,
175,17,,1,1,
176,17,,1,1,
177,17,,1,1,
178,18,,1,1,
179,18,,1,1,
180,18,,1,1,
181,18,,1,1,
182,18,,1,1,
183,18,,1,1,
184,18,,1,1,
185,18,,1,1,
186,18,,1,1,
187,19,,1,1,
188,19,,1,1,
189,19,,1,1,
190,19,,1,1,
191,19,,1,1,
192,19,,1,1,
193,19,,1,1,
194,19,,1,1,
195,19,,1,1,
196,19,,1,1,
197,19,,1,1,
198,19,,1,1,
199,20,,1,1,
200,20,,1,1,
201,20,,1,1,
202,20,,1,1,
203,20,,1,1,
204,20,,1,1,
205,20,,1,1,
206,20,,1,1,
