_id,diagnosis_id,medical_specialty_id
1,1,183
2,3,183
3,35,183
4,44,183
5,56,183
6,99,183
7,108,183
8,109,183
9,110,183
10,111,183
11,162,183
12,163,183
13,165,183
14,180,183
15,258,183
16,283,183
17,285,183
18,289,183
19,301,183
20,311,183
21,320,183
22,339,183
23,343,183
24,349,183
25,388,183
26,393,183
27,394,183
28,399,183
29,411,183
30,431,183
31,433,183
32,456,183
33,510,183
34,543,183
35,545,183
36,567,183
37,573,183
38,576,183
39,586,183
40,643,183
41,644,183
42,646,183
43,648,183
44,659,183
45,707,183
46,722,183
47,725,183
48,748,183
49,753,183
50,759,183
51,788,183
52,826,183
53,939,183
54,986,183
55,1007,183
56,1039,183
57,1049,183
58,1057,183
59,1059,183
60,1060,183
61,1066,183
62,1067,183
63,1072,183
64,1115,183
65,1126,183
66,1145,183
67,1154,183
68,1163,183
69,1166,183
70,1178,183
71,1179,183
72,1187,183
73,1217,183
74,1218,183
75,1237,183
76,1251,183
77,1263,183
78,1265,183
79,1267,183
80,1277,183
81,1295,183
82,1523,183
83,1525,183
84,1529,183
85,1531,183
86,1533,183
87,2,184
88,35,184
89,36,184
90,74,184
91,76,184
92,80,184
93,139,184
94,164,184
95,165,184
96,169,184
97,172,184
98,178,184
99,179,184
100,180,184
101,187,184
102,197,184
103,216,184
104,256,184
105,257,184
106,258,184
107,259,184
108,260,184
109,261,184
110,262,184
111,263,184
112,264,184
113,265,184
114,282,184
115,283,184
116,301,184
117,306,184
118,307,184
119,308,184
120,309,184
121,310,184
122,311,184
123,317,184
124,343,184
125,346,184
126,347,184
127,354,184
128,385,184
129,394,184
130,396,184
131,399,184
132,401,184
133,432,184
134,433,184
135,446,184
136,450,184
137,456,184
138,546,184
139,547,184
140,549,184
141,571,184
142,606,184
143,612,184
144,647,184
145,670,184
146,679,184
147,697,184
148,788,184
149,842,184
150,895,184
151,898,184
152,903,184
153,953,184
154,955,184
155,955,184
156,958,184
157,975,184
158,987,184
159,988,184
160,991,184
161,1046,184
162,1049,184
163,1066,184
164,1081,184
165,1112,184
166,1126,184
167,1142,184
168,1171,184
169,1202,184
170,1203,184
171,1217,184
172,1240,184
173,1251,184
174,1263,184
175,1265,184
