_id,body_area_id,chief_complaint_id,is_male,is_female,is_common,_id,name,_id,chief_complaint_id,chief_complaint_name_id,name,reason_code,life_threatening,msp_enabled,primary_complaint,diagnosis_count
1,1,,1,1,,1,Head,,,,,,,,,
2,1,,1,1,,1,Head,,,,,,,,,
3,1,,1,1,,1,Head,,,,,,,,,
4,1,,1,1,,1,Head,,,,,,,,,
5,1,,1,1,,1,Head,,,,,,,,,
6,1,,1,1,,1,Head,,,,,,,,,
7,1,,1,1,,1,Head,,,,,,,,,
8,1,,1,1,,1,Head,,,,,,,,,
9,1,,1,1,,1,Head,,,,,,,,,
10,1,,1,1,,1,Head,,,,,,,,,
11,1,,1,1,,1,Head,,,,,,,,,
12,1,,1,1,,1,Head,,,,,,,,,
13,1,,1,1,,1,Head,,,,,,,,,
14,1,,1,1,,1,Head,,,,,,,,,
15,1,,1,1,,1,Head,,,,,,,,,
16,1,,1,1,,1,Head,,,,,,,,,
17,1,,1,1,,1,Head,,,,,,,,,
18,1,,1,1,,1,Head,,,,,,,,,
19,1,,1,1,,1,Head,,,,,,,,,
20,1,,1,1,,1,Head,,,,,,,,,
21,1,,1,1,,1,Head,,,,,,,,,
22,1,,1,1,,1,Head,,,,,,,,,
23,1,,1,1,,1,Head,,,,,,,,,
24,1,,1,1,,1,Head,,,,,,,,,
25,1,,1,1,,1,Head,,,,,,,,,
26,1,,1,1,,1,Head,,,,,,,,,
27,1,,1,1,,1,Head,,,,,,,,,
28,1,,1,1,,1,Head,,,,,,,,,
29,1,,1,1,,1,Head,,,,,,,,,
30,1,,1,1,,1,Head,,,,,,,,,
31,1,,1,1,,1,Head,,,,,,,,,
32,1,,1,1,,1,Head,,,,,,,,,
33,2,,1,1,,2,Neck,,,,,,,,,
34,2,,1,1,,2,Neck,,,,,,,,,
35,2,,1,1,,2,Neck,,,,,,,,,
36,2,,1,1,,2,Neck,,,,,,,,,
37,2,,1,1,,2,Neck,,,,,,,,,
38,2,,1,1,,2,Neck,,,,,,,,,
39,2,,1,1,,2,Neck,,,,,,,,,
40,2,,1,1,,2,Neck,,,,,,,,,
41,2,,1,1,,2,Neck,,,,,,,,,
42,2,,1,1,,2,Neck,,,,,,,,,
43,2,,1,1,,2,Neck,,,,,,,,,
44,2,,1,1,,2,Neck,,,,,,,,,
45,5,,1,1,,5,Face,,,,,,,,,
46,5,,1,1,,5,Face,,,,,,,,,
47,5,,1,1,,5,Face,,,,,,,,,
48,5,,1,1,,5,Face,,,,,,,,,
49,5,,1,1,,5,Face,,,,,,,,,
50,5,,1,1,,5,Face,,,,,,,,,
51,5,,1,1,,5,Face,,,,,,,,,
52,5,,1,1,,5,Face,,,,,,,,,
53,7,,1,1,,7,Chest,,,,,,,,,
54,7,,1,1,,7,Chest,,,,,,,,,
55,7,,1,1,,7,Chest,,,,,,,,,
56,7,,1,1,,7,Chest,,,,,,,,,
57,7,,1,1,,7,Chest,,,,,,,,,
58,7,,1,1,,7,Chest,,,,,,,,,
59,7,,1,1,,7,Chest,,,,,,,,,
60,7,,1,1,,7,Chest,,,,,,,,,
61,7,,1,1,,7,Chest,,,,,,,,,
62,7,,1,1,,7,Chest,,,,,,,,,
63,7,,1,1,,7,Chest,,,,,,,,,
64,7,,1,1,,7,Chest,,,,,,,,,
65,7,,1,1,,7,Chest,,,,,,,,,
66,7,,1,1,,7,Chest,,,,,,,,,
67,7,,1,1,,7,Chest,,,,,,,,,
68,8,,1,1,,8,Back,,,,,,,,,
69,8,,1,1,,8,Back,,,,,,,,,
70,8,,1,1,,8,Back,,,,,,,,,
71,8,,1,1,,8,Back,,,,,,,,,
72,8,,1,1,,8,Back,,,,,,,,,
73,8,,1,1,,8,Back,,,,,,,,,
74,8,,1,1,,8,Back,,,,,,,,,
75,8,,1,1,,8,Back,,,,,,,,,
76,9,,1,1,,9,Lower Back,,,,,,,,,
77,9,,1,1,,9,Lower Back,,,,,,,,,
78,9,,1,1,,9,Lower Back,,,,,,,,,
79,9,,1,1,,9,Lower Back,,,,,,,,,
80,9,,1,1,,9,Lower Back,,,,,,,,,
81,9,,1,1,,9,Lower Back,,,,,,,,,
82,9,,1,1,,9,Lower Back,,,,,,,,,
83,9,,1,1,,9,Lower Back,,,,,,,,,
84,9,,1,1,,9,Lower Back,,,,,,,,,
85,10,,1,1,,10,Shoulder,,,,,,,,,
86,10,,1,1,,10,Shoulder,,,,,,,,,
87,10,,1,1,,10,Shoulder,,,,,,,,,
88,10,,1,1,,10,Shoulder,,,,,,,,,
89,10,,1,1,,10,Shoulder,,,,,,,,,
90,10,,1,1,,10,Shoulder,,,,,,,,,
91,10,,1,1,,10,Shoulder,,,,,,,,,
92,11,,1,1,,11,Arms,,,,,,,,,
93,11,,1,1,,11,Arms,,,,,,,,,
94,11,,1,1,,11,Arms,,,,,,,,,
95,11,,1,1,,11,Arms,,,,,,,,,
96,11,,1,1,,11,Arms,,,,,,,,,
97,11,,1,1,,11,Arms,,,,,,,,,
